,feature
538,SND_SOC_RT5514
539,HID_APPLE
540,HID_SMARTJOYPLUS
541,I2C_SIS5595
542,SENSORS_ADM1026
543,INTEL_ISH_HID
544,LEDS_PCA963X
545,SENSORS_ADT7410
546,LEDS_LP5562
547,SND_SOC_MAX98090
548,UCB1400_CORE
549,SENSORS_F75375S
550,SCSI_ISCSI_ATTRS
551,SENSORS_LM95234
552,LEDS_LM355x
553,CRYPTO_CMAC
554,HID_PRIMAX
555,HID_ZYDACRON
556,SENSORS_NPCM7XX
557,SENSORS_APPLESMC
558,SENSORS_LTC2945
559,MEDIA_TUNER_TDA18271
560,LEDS_LP3952
561,LEDS_LP5523
562,I2C_AMD756_S4882
563,SENSORS_PCF8591
564,HID_WALTOP
565,SENSORS_MC13783_ADC
566,LPC_SCH
567,CRYPTO_ECDH
568,SENSORS_SHTC1
569,V4L2_FWNODE
570,I2C_ALI1535
571,RMI4_CORE
572,HWMON
573,LEDS_PCA955X
574,HID_KENSINGTON
575,PERF_EVENTS_INTEL_RAPL
576,SENSORS_AXI_FAN_CONTROL
577,SND_HDA_CODEC_CONEXANT
578,SENSORS_TMP401
579,IIO_BUFFER_CB
580,HID_ZEROPLUS
581,HID_SAMSUNG
582,SND_HDA_CODEC_ANALOG
583,HID_EMS_FF
584,DRM_R128
585,HID_COUGAR
586,HID_SUNPLUS
587,SND_MPU401_UART
588,SND_SOC_MSM8916_WCD_ANALOG
589,HID_SENSOR_HUB
590,IP_SCTP
591,IRQ_FASTEOI_HIERARCHY_HANDLERS
592,USB4
593,FB_S1D13XXX
594,LEDS_LM3532
595,I2C_DESIGNWARE_PCI
596,SCSI_SRP_ATTRS
597,BMC150_MAGN
598,MEDIA_TUNER
599,UIO_PCI_GENERIC
600,HID_MULTITOUCH
601,REGULATOR_ARIZONA_LDO1
602,HID_ORTEK
603,I2C_MUX_GPIO
604,DRM_VIA
605,HID_RMI
606,DRM_MGA
607,REGMAP_SOUNDWIRE
608,SENSORS_IT87
609,SND_SOC_WM8996
610,I2C_SIS96X
611,SND_SOC_WM1250_EV1
612,SENSORS_DELL_SMM
613,SENSORS_LTC4260
614,SND_SOC_AMD_ACP3x
615,VIDEO_V4L2
616,SND_SOC_WM_ADSP
617,SND_SOC_RT1011
618,LEDS_LP8501
619,SND_SOC_WM8983
620,SND_SOC_WM8900
621,SND_SOC_WM8988
622,SND_SOC_WM8995
623,SND_SOC_DA7210
624,LEDS_BLINKM
625,SND_SOC_RT1015
626,CRYPTO_DEFLATE
627,SND_SOC_AD193X
628,SND_SOC_ADAU1781
629,SND_SOC_ADAU1977
630,SND_SOC_ADAV80X
631,SND_SOC_MAX9877
632,SND_SOC_RT5665
633,SND_SOC_MAX9768
634,SND_SOC_MAX98371
635,SND_SOC_TLV320DAC33
636,SND_SOC_DA732X
637,SND_SOC_DA9055
638,SND_SOC_STA529
639,SND_SOC_RT1308
640,SND_SOC_ADAV803
641,SND_SOC_ADAU1781_I2C
642,SND_SOC_DA7218
643,SND_SOC_MAX98925
644,SND_SOC_RT5668
645,SND_SOC_SSM2518
646,SND_SOC_WM9090
647,SND_SOC_WM8990
648,SND_SOC_WM8961
649,SND_SOC_WM8955
650,SND_SOC_AK4641
651,SND_SOC_ML26124
652,SND_SOC_WM2200
653,SND_SOC_ADAU1373
654,SND_SOC_AK4535
655,SND_SOC_LM49453
656,SND_SOC_WM8971
657,SND_SOC_ISABELLE
658,SND_SOC_ADAU1977_I2C
659,SND_SOC_MAX98926
660,SND_SOC_UDA1380
661,SND_SOC_WM8940
662,SND_SOC_RT274
663,SND_SOC_RT1305
664,SND_SOC_RT5659
665,SND_SOC_AK4671
666,SND_SOC_LM4857
667,SND_SOC_WM2000
668,SND_SOC_WM8991
669,SND_SOC_WM8993
670,SND_SOC_AD193X_I2C
671,SND_SOC_MAX9850
672,WIMAX
673,BACKLIGHT_QCOM_WLED
674,SENSORS_SMSC47B397
675,MEDIA_TUNER_SI2157
676,SND_SOC_AMD_RENOIR
677,HID_MAYFLASH
678,VIDEO_CX25840
679,BMI160
680,SND_HDA_CODEC_SI3054
681,SND_SOC_WL1273
682,SND_SOC_CS47L90
683,SND_SOC_PCM3008
684,SND_SOC_CS47L92
685,SND_SOC_ICS43432
686,SND_SOC_CQ0093VC
687,SND_SOC_MADERA
688,SND_SOC_WM8727
689,SND_SOC_CS47L85
690,SND_SOC_AD73311
691,SND_SOC_ADS117X
692,SND_SOC_ALL_CODECS
693,SND_SOC_CS47L15
694,SND_SOC_PCM5102A
695,SND_SOC_CS47L35
696,SND_SOC_L3
697,SND_SOC_UDA134X
698,I2C_SIS630
699,BMC150_MAGN_I2C
700,HID_STEAM
701,HID_THRUSTMASTER
702,AGP
703,GPIO_ML_IOH
704,DRM_SAVAGE
705,RMI4_I2C
706,MEDIA_TUNER_QM1D1C0042
707,AD5592R_BASE
708,INV_MPU6050_IIO
709,SENSORS_NTC_THERMISTOR
710,W1_MASTER_MATROX
711,MPL115
712,EXTCON_FSA9480
713,SND_SOC_WM9081
714,HID_PLANTRONICS
715,SND_HDA_CODEC_VIA
716,UIO_AEC
717,HID_CMEDIA
718,GPIO_ICH
719,SND_SOC_WM5100
720,HID_NTI
721,LEDS_LM3530
722,HID_MONTEREY
723,DRM_TDFX
724,MMC_CQHCI
725,SENSORS_MAX197
726,VIRTIO_VSOCKETS_COMMON
727,SND_SOC_ALC5632
728,HID_TIVO
729,SND_SEQ_DEVICE
730,MXM_WMI
731,AD5686
732,IIO_CONFIGFS
733,HID_GFRM
734,HID_XINMO
735,HID_MACALLY
